dbo,omnitrans_configuracion
dbo,ordenescompra
dbo,ordenescompramov
dbo,pacs
dbo,pagosproveedores
dbo,paises
dbo,paquetes
dbo,parametros
dbo,parametros2
dbo,parametros3
dbo,patines
dbo,PaymentMethod
dbo,PaymentMethodSRAPP
dbo,paymentproviders
dbo,PaymentType
dbo,pedidos
dbo,pedidosdetalle
dbo,perfilesdescuentos
dbo,perfilesformasdepago
dbo,Periodicity
dbo,plazasempresa
dbo,polizasgeneradas
dbo,polizasgeneradasdetalle
dbo,pos_settings
dbo,PriceLists
dbo,Product
dbo,productos
dbo,productos_puntos
dbo,ProductosAgruparConfig
dbo,productosdelivery
dbo,productosdetalle
dbo,productosenproduccion
dbo,ProductosEquivalenciasConfig
dbo,productosindicadorimpuesto
dbo,productosmonedero
dbo,productosmonitores
dbo,productosTokencash
dbo,ProductPriceLists
dbo,promociones
dbo,promocionesdescargar
dbo,promocionesmenuelectronico
dbo,promoproductos
dbo,ProofType
dbo,ProofUse
dbo,proveedores
dbo,proveedorespredet
dbo,puntos
dbo,puntosgruposdeproductos
dbo,rangohoras
dbo,recetasalmacenes
dbo,regionempresa
dbo,regiones
dbo,registro_dispositivos
dbo,registro_enlacesrm
dbo,registro_licencias
dbo,registroasistencias
dbo,registrocomedorotm
dbo,RelationshipType
dbo,renta
dbo,reservaciones
dbo,saldosclientes
dbo,SalesAreaPriceList
dbo,servicecodes
dbo,ServiceWorkspaceSettings
dbo,serviciominutospatin
dbo,serviciosns
dbo,sincronizacion
dbo,sincronizacion_bitacora
dbo,stockinsumos
dbo,subgrupos
dbo,subgruposproductos
dbo,subtipogastos
dbo,sucursalescallcenter
dbo,SyncLog
dbo,SyncronizationControl
dbo,tablaaux
dbo,Tax
dbo,TaxRate
dbo,TaxRegime
dbo,TaxSubject
dbo,tempbitacoraeasygoband
dbo,tempbitacoratarjetacredito
dbo,tempbitacoratransacciones
dbo,tempcancela
dbo,tempcheqdet
dbo,tempcheqdetauthsrx
dbo,tempcheqpedidos
dbo,tempcheques
dbo,tempchequesinfo
dbo,tempchequespagos
dbo,tempexplosioninsumosdetalle
dbo,tempexplosionproductos
dbo,tempexplosionproductosdetalle
dbo,tempfoliosfacturados
dbo,tempnotificaciones
dbo,tempnumerostarjetas
dbo,tipoclientes
dbo,tipoclientesPriceList
dbo,tipocomisionistas
dbo,tipodescuento
dbo,tipoempresa
dbo,tipoformaspagos
dbo,tipogastos
dbo,tipomenuclientes
dbo,tipopedido
dbo,tipoproveedores
dbo,tiporeservaciones
dbo,tiposdemesa
dbo,tiposdemesadetalles
dbo,tiposervicio
dbo,traspasosalmacen
dbo,turnos
dbo,turnosf
dbo,ubicacionesempresa
dbo,udsmedida
dbo,udsmedidaequivale
dbo,UnitOfMeasure
dbo,usuarios
dbo,usuariosdescargar
dbo,usuariosperfiles
dbo,usuariosperfilescatalogo
dbo,validahuellamonedero
dbo,VisibilidadAreaParaVenta
dbo,workspace_apps
dbo,workspace_apps_pricelists
dbo,workspace_platform_settings
dbo,workspace_settings
dbo,WorkspaceControl
dbo,ws_cloud
dbo,xpFormasDePago
dbo,xpPaso_Insumos
dbo,xpPasoVentaCabecero
dbo,xpPasoVentaDetalle
dbo,zonasdomicilio
dbo,zonasdomiciliodescargar
dbo,zonasdomiciliosucursales
dbo,zonasempresa
